Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.05145959168163933,0.10144175551784898
0,1,1,0.020460358056265983,0.0601426840759187
0,2,0,0.05244597283200407,0.09126204229504323
0,2,1,0.030964433636312037,0.07979282117276965
0,3,0,0.0418116456971155,0.09167066707987766
0,3,1,0.02067561660029304,0.08734659471732403
0,4,0,0.041919603269920884,0.08998519573906238
0,4,1,0.01966120747124982,0.07476527109473793
1,1,0,0.007836518812357255,0.6720182015630989
1,1,1,0.0125,0.5562265512265512
1,2,0,0.060758765883171285,0.652739309594683
1,2,1,0.09469565217391304,0.5873412384716733
1,3,0,0.031383537630941996,0.6914640675621171
1,3,1,0.08810878492546752,0.623423702328708
1,4,0,0.030709972720592497,0.6433448857755975
1,4,1,0.0639066985645933,0.5797619617224881
